instance,iterations,success
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,36,True
uf20-0102.cnf,6,True
uf20-0102.cnf,17,True
uf20-0102.cnf,1,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
uf20-0102.cnf,14,True
uf20-0102.cnf,12,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,8,True
uf20-0102.cnf,9,True
uf20-0102.cnf,4,True
uf20-0102.cnf,12,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,2,True
uf20-0102.cnf,8,True
uf20-0102.cnf,11,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,12,True
uf20-0102.cnf,1,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,2,True
uf20-0102.cnf,2,True
uf20-0102.cnf,1,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,11,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,7,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,17,True
uf20-0102.cnf,15,True
uf20-0102.cnf,4,True
uf20-0102.cnf,9,True
uf20-0102.cnf,9,True
uf20-0102.cnf,11,True
uf20-0102.cnf,6,True
uf20-0102.cnf,9,True
uf20-0102.cnf,11,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,12,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,9,True
uf20-0102.cnf,7,True
uf20-0102.cnf,8,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,9,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,8,True
uf20-0102.cnf,11,True
uf20-0102.cnf,10,True
uf20-0102.cnf,11,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,2,True
uf20-0102.cnf,3,True
uf20-0102.cnf,1,True
uf20-0102.cnf,7,True
uf20-0102.cnf,9,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,13,True
uf20-0102.cnf,22,True
uf20-0102.cnf,11,True
uf20-0102.cnf,2,True
uf20-0102.cnf,9,True
uf20-0102.cnf,8,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,9,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,2,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,11,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,12,True
uf20-0102.cnf,12,True
uf20-0102.cnf,12,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,1,True
uf20-0102.cnf,2,True
uf20-0102.cnf,9,True
uf20-0102.cnf,5,True
uf20-0102.cnf,9,True
uf20-0102.cnf,11,True
uf20-0102.cnf,7,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,4,True
uf20-0102.cnf,9,True
uf20-0102.cnf,2,True
uf20-0102.cnf,2,True
uf20-0102.cnf,1,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,2,True
uf20-0102.cnf,2,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,4,True
uf20-0102.cnf,17,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,22,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,10,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,1,True
uf20-0102.cnf,64,True
uf20-0102.cnf,9,True
uf20-0102.cnf,6,True
uf20-0102.cnf,8,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,9,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,1,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,10,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,9,True
uf20-0102.cnf,2,True
uf20-0102.cnf,8,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
uf20-0102.cnf,1,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
uf20-0102.cnf,18,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,9,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,10,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,8,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,17,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,13,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,8,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,7,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,16,True
uf20-0102.cnf,9,True
uf20-0102.cnf,17,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,12,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,10,True
uf20-0102.cnf,5,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,1,True
uf20-0102.cnf,13,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,2,True
uf20-0102.cnf,16,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,10,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,16,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,1,True
uf20-0102.cnf,4,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,6,True
uf20-0102.cnf,1,True
uf20-0102.cnf,9,True
uf20-0102.cnf,3,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,8,True
uf20-0102.cnf,1,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,1,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,8,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,12,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,11,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,12,True
uf20-0102.cnf,4,True
uf20-0102.cnf,1,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,10,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,8,True
uf20-0102.cnf,6,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,9,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,15,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,10,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,1,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,2,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,2,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,13,True
uf20-0102.cnf,5,True
uf20-0102.cnf,12,True
uf20-0102.cnf,7,True
uf20-0102.cnf,8,True
uf20-0102.cnf,2,True
uf20-0102.cnf,5,True
uf20-0102.cnf,8,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,9,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,14,True
uf20-0102.cnf,3,True
uf20-0102.cnf,11,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,7,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,4,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,2,True
uf20-0102.cnf,10,True
uf20-0102.cnf,2,True
uf20-0102.cnf,7,True
uf20-0102.cnf,9,True
uf20-0102.cnf,15,True
uf20-0102.cnf,4,True
uf20-0102.cnf,17,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,8,True
uf20-0102.cnf,1,True
uf20-0102.cnf,10,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,12,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,8,True
uf20-0102.cnf,9,True
uf20-0102.cnf,2,True
uf20-0102.cnf,3,True
uf20-0102.cnf,8,True
uf20-0102.cnf,11,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,11,True
uf20-0102.cnf,4,True
uf20-0102.cnf,1,True
uf20-0102.cnf,6,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,2,True
uf20-0102.cnf,2,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,8,True
uf20-0102.cnf,7,True
uf20-0102.cnf,2,True
uf20-0102.cnf,2,True
uf20-0102.cnf,13,True
uf20-0102.cnf,2,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,10,True
uf20-0102.cnf,11,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,5,True
uf20-0102.cnf,3,True
uf20-0102.cnf,6,True
uf20-0102.cnf,10,True
uf20-0102.cnf,5,True
uf20-0102.cnf,7,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,10,True
uf20-0102.cnf,6,True
uf20-0102.cnf,13,True
uf20-0102.cnf,5,True
uf20-0102.cnf,12,True
uf20-0102.cnf,11,True
uf20-0102.cnf,5,True
uf20-0102.cnf,9,True
uf20-0102.cnf,7,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,1,True
uf20-0102.cnf,6,True
uf20-0102.cnf,9,True
uf20-0102.cnf,4,True
uf20-0102.cnf,5,True
uf20-0102.cnf,5,True
uf20-0102.cnf,6,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,3,True
uf20-0102.cnf,4,True
uf20-0102.cnf,2,True
uf20-0102.cnf,6,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,7,True
uf20-0102.cnf,3,True
uf20-0102.cnf,15,True
uf20-0102.cnf,6,True
uf20-0102.cnf,6,True
uf20-0102.cnf,4,True
uf20-0102.cnf,4,True
uf20-0102.cnf,8,True
uf20-0102.cnf,5,True
