instance,iterations,success
uf75-01.cnf,640,True
uf75-01.cnf,134,True
uf75-01.cnf,597,True
uf75-01.cnf,447,True
uf75-01.cnf,181,True
uf75-01.cnf,542,True
uf75-01.cnf,564,True
uf75-01.cnf,120,True
uf75-01.cnf,136,True
uf75-01.cnf,450,True
uf75-01.cnf,51,True
uf75-01.cnf,60,True
uf75-01.cnf,1749,True
uf75-01.cnf,1243,True
uf75-01.cnf,1250,True
uf75-01.cnf,817,True
uf75-01.cnf,106,True
uf75-01.cnf,145,True
uf75-01.cnf,162,True
uf75-01.cnf,248,True
uf75-01.cnf,510,True
uf75-01.cnf,1275,True
uf75-01.cnf,1345,True
uf75-01.cnf,606,True
uf75-01.cnf,565,True
uf75-01.cnf,2791,True
uf75-01.cnf,98,True
uf75-01.cnf,555,True
uf75-01.cnf,114,True
uf75-01.cnf,768,True
uf75-01.cnf,1105,True
uf75-01.cnf,350,True
uf75-01.cnf,306,True
uf75-01.cnf,332,True
uf75-01.cnf,1128,True
uf75-01.cnf,1610,True
uf75-01.cnf,391,True
uf75-01.cnf,501,True
uf75-01.cnf,2156,True
uf75-01.cnf,667,True
uf75-01.cnf,133,True
uf75-01.cnf,500,True
uf75-01.cnf,213,True
uf75-01.cnf,248,True
uf75-01.cnf,2762,True
uf75-01.cnf,3321,True
uf75-01.cnf,243,True
uf75-01.cnf,872,True
uf75-01.cnf,242,True
uf75-01.cnf,1195,True
uf75-01.cnf,283,True
uf75-01.cnf,136,True
uf75-01.cnf,450,True
uf75-01.cnf,1309,True
uf75-01.cnf,203,True
uf75-01.cnf,695,True
uf75-01.cnf,840,True
uf75-01.cnf,230,True
uf75-01.cnf,1134,True
uf75-01.cnf,565,True
uf75-01.cnf,1092,True
uf75-01.cnf,1062,True
uf75-01.cnf,103,True
uf75-01.cnf,88,True
uf75-01.cnf,867,True
uf75-01.cnf,423,True
uf75-01.cnf,769,True
uf75-01.cnf,146,True
uf75-01.cnf,213,True
uf75-01.cnf,277,True
uf75-01.cnf,581,True
uf75-01.cnf,159,True
uf75-01.cnf,705,True
uf75-01.cnf,264,True
uf75-01.cnf,743,True
uf75-01.cnf,146,True
uf75-01.cnf,531,True
uf75-01.cnf,772,True
uf75-01.cnf,1244,True
uf75-01.cnf,567,True
uf75-01.cnf,252,True
uf75-01.cnf,706,True
uf75-01.cnf,2090,True
uf75-01.cnf,118,True
uf75-01.cnf,529,True
uf75-01.cnf,232,True
uf75-01.cnf,346,True
uf75-01.cnf,63,True
uf75-01.cnf,761,True
uf75-01.cnf,2149,True
uf75-01.cnf,129,True
uf75-01.cnf,668,True
uf75-01.cnf,1157,True
uf75-01.cnf,1394,True
uf75-01.cnf,394,True
uf75-01.cnf,281,True
uf75-01.cnf,216,True
uf75-01.cnf,251,True
uf75-01.cnf,251,True
uf75-01.cnf,1863,True
uf75-01.cnf,1471,True
uf75-01.cnf,292,True
uf75-01.cnf,741,True
uf75-01.cnf,631,True
uf75-01.cnf,666,True
uf75-01.cnf,36,True
uf75-01.cnf,517,True
uf75-01.cnf,123,True
uf75-01.cnf,458,True
uf75-01.cnf,66,True
uf75-01.cnf,1089,True
uf75-01.cnf,1457,True
uf75-01.cnf,90,True
uf75-01.cnf,123,True
uf75-01.cnf,634,True
uf75-01.cnf,300,True
uf75-01.cnf,406,True
uf75-01.cnf,80,True
uf75-01.cnf,302,True
uf75-01.cnf,905,True
uf75-01.cnf,317,True
uf75-01.cnf,1427,True
uf75-01.cnf,935,True
uf75-01.cnf,203,True
uf75-01.cnf,221,True
uf75-01.cnf,2084,True
uf75-01.cnf,372,True
uf75-01.cnf,859,True
uf75-01.cnf,1305,True
uf75-01.cnf,207,True
uf75-01.cnf,201,True
uf75-01.cnf,107,True
uf75-01.cnf,162,True
uf75-01.cnf,1376,True
uf75-01.cnf,442,True
uf75-01.cnf,565,True
uf75-01.cnf,530,True
uf75-01.cnf,175,True
uf75-01.cnf,511,True
uf75-01.cnf,3116,True
uf75-01.cnf,271,True
uf75-01.cnf,2372,True
uf75-01.cnf,919,True
uf75-01.cnf,842,True
uf75-01.cnf,308,True
uf75-01.cnf,302,True
uf75-01.cnf,227,True
uf75-01.cnf,229,True
uf75-01.cnf,258,True
uf75-01.cnf,153,True
uf75-01.cnf,1159,True
uf75-01.cnf,311,True
uf75-01.cnf,400,True
uf75-01.cnf,548,True
uf75-01.cnf,1000,True
uf75-01.cnf,309,True
uf75-01.cnf,191,True
uf75-01.cnf,873,True
uf75-01.cnf,1198,True
uf75-01.cnf,1175,True
uf75-01.cnf,175,True
uf75-01.cnf,439,True
uf75-01.cnf,526,True
uf75-01.cnf,197,True
uf75-01.cnf,455,True
uf75-01.cnf,263,True
uf75-01.cnf,1627,True
uf75-01.cnf,412,True
uf75-01.cnf,277,True
uf75-01.cnf,178,True
uf75-01.cnf,228,True
uf75-01.cnf,176,True
uf75-01.cnf,93,True
uf75-01.cnf,303,True
uf75-01.cnf,112,True
uf75-01.cnf,437,True
uf75-01.cnf,478,True
uf75-01.cnf,1552,True
uf75-01.cnf,926,True
uf75-01.cnf,955,True
uf75-01.cnf,1275,True
uf75-01.cnf,1401,True
uf75-01.cnf,745,True
uf75-01.cnf,456,True
uf75-01.cnf,460,True
uf75-01.cnf,95,True
uf75-01.cnf,221,True
uf75-01.cnf,1366,True
uf75-01.cnf,1751,True
uf75-01.cnf,174,True
uf75-01.cnf,867,True
uf75-01.cnf,353,True
uf75-01.cnf,1709,True
uf75-01.cnf,360,True
uf75-01.cnf,247,True
uf75-01.cnf,873,True
uf75-01.cnf,80,True
uf75-01.cnf,943,True
uf75-01.cnf,556,True
uf75-01.cnf,99,True
uf75-01.cnf,252,True
uf75-01.cnf,112,True
uf75-01.cnf,85,True
uf75-01.cnf,551,True
uf75-01.cnf,359,True
uf75-01.cnf,140,True
uf75-01.cnf,226,True
uf75-01.cnf,67,True
uf75-01.cnf,128,True
uf75-01.cnf,107,True
uf75-01.cnf,206,True
uf75-01.cnf,859,True
uf75-01.cnf,1665,True
uf75-01.cnf,485,True
uf75-01.cnf,204,True
uf75-01.cnf,126,True
uf75-01.cnf,812,True
uf75-01.cnf,317,True
uf75-01.cnf,1308,True
uf75-01.cnf,122,True
uf75-01.cnf,267,True
uf75-01.cnf,1479,True
uf75-01.cnf,320,True
uf75-01.cnf,1930,True
uf75-01.cnf,125,True
uf75-01.cnf,182,True
uf75-01.cnf,329,True
uf75-01.cnf,1217,True
uf75-01.cnf,3305,True
uf75-01.cnf,1214,True
uf75-01.cnf,1115,True
uf75-01.cnf,145,True
uf75-01.cnf,266,True
uf75-01.cnf,191,True
uf75-01.cnf,103,True
uf75-01.cnf,778,True
uf75-01.cnf,380,True
uf75-01.cnf,796,True
uf75-01.cnf,363,True
uf75-01.cnf,830,True
uf75-01.cnf,259,True
uf75-01.cnf,559,True
uf75-01.cnf,220,True
uf75-01.cnf,1822,True
uf75-01.cnf,425,True
uf75-01.cnf,1383,True
uf75-01.cnf,915,True
uf75-01.cnf,1284,True
uf75-01.cnf,654,True
uf75-01.cnf,796,True
uf75-01.cnf,1412,True
uf75-01.cnf,66,True
uf75-01.cnf,802,True
uf75-01.cnf,377,True
uf75-01.cnf,418,True
uf75-01.cnf,97,True
uf75-01.cnf,776,True
uf75-01.cnf,812,True
uf75-01.cnf,286,True
uf75-01.cnf,1082,True
uf75-01.cnf,525,True
uf75-01.cnf,809,True
uf75-01.cnf,2218,True
uf75-01.cnf,1597,True
uf75-01.cnf,379,True
uf75-01.cnf,469,True
uf75-01.cnf,259,True
uf75-01.cnf,875,True
uf75-01.cnf,1281,True
uf75-01.cnf,2929,True
uf75-01.cnf,237,True
uf75-01.cnf,131,True
uf75-01.cnf,287,True
uf75-01.cnf,114,True
uf75-01.cnf,2503,True
uf75-01.cnf,121,True
uf75-01.cnf,903,True
uf75-01.cnf,588,True
uf75-01.cnf,855,True
uf75-01.cnf,1060,True
uf75-01.cnf,223,True
uf75-01.cnf,281,True
uf75-01.cnf,341,True
uf75-01.cnf,2443,True
uf75-01.cnf,129,True
uf75-01.cnf,183,True
uf75-01.cnf,299,True
uf75-01.cnf,968,True
uf75-01.cnf,1406,True
uf75-01.cnf,930,True
uf75-01.cnf,445,True
uf75-01.cnf,905,True
uf75-01.cnf,195,True
uf75-01.cnf,1346,True
uf75-01.cnf,748,True
uf75-01.cnf,260,True
uf75-01.cnf,598,True
uf75-01.cnf,150,True
uf75-01.cnf,166,True
uf75-01.cnf,312,True
uf75-01.cnf,264,True
uf75-01.cnf,597,True
uf75-01.cnf,1304,True
uf75-01.cnf,1555,True
uf75-01.cnf,1398,True
uf75-01.cnf,288,True
uf75-01.cnf,227,True
uf75-01.cnf,724,True
uf75-01.cnf,285,True
uf75-01.cnf,1216,True
uf75-01.cnf,791,True
uf75-01.cnf,293,True
uf75-01.cnf,379,True
uf75-01.cnf,85,True
uf75-01.cnf,877,True
uf75-01.cnf,890,True
uf75-01.cnf,2117,True
uf75-01.cnf,631,True
uf75-01.cnf,1133,True
uf75-01.cnf,717,True
uf75-01.cnf,229,True
uf75-01.cnf,384,True
uf75-01.cnf,1405,True
uf75-01.cnf,157,True
uf75-01.cnf,336,True
uf75-01.cnf,442,True
uf75-01.cnf,902,True
uf75-01.cnf,95,True
uf75-01.cnf,750,True
uf75-01.cnf,524,True
uf75-01.cnf,225,True
uf75-01.cnf,247,True
uf75-01.cnf,388,True
uf75-01.cnf,1931,True
uf75-01.cnf,290,True
uf75-01.cnf,172,True
uf75-01.cnf,239,True
uf75-01.cnf,320,True
uf75-01.cnf,2090,True
uf75-01.cnf,195,True
uf75-01.cnf,1434,True
uf75-01.cnf,446,True
uf75-01.cnf,194,True
uf75-01.cnf,83,True
uf75-01.cnf,513,True
uf75-01.cnf,1600,True
uf75-01.cnf,96,True
uf75-01.cnf,847,True
uf75-01.cnf,371,True
uf75-01.cnf,249,True
uf75-01.cnf,606,True
uf75-01.cnf,1096,True
uf75-01.cnf,214,True
uf75-01.cnf,131,True
uf75-01.cnf,133,True
uf75-01.cnf,1210,True
uf75-01.cnf,155,True
uf75-01.cnf,370,True
uf75-01.cnf,687,True
uf75-01.cnf,2505,True
uf75-01.cnf,454,True
uf75-01.cnf,467,True
uf75-01.cnf,978,True
uf75-01.cnf,2163,True
uf75-01.cnf,3574,True
uf75-01.cnf,305,True
uf75-01.cnf,369,True
uf75-01.cnf,381,True
uf75-01.cnf,703,True
uf75-01.cnf,1972,True
uf75-01.cnf,224,True
uf75-01.cnf,177,True
uf75-01.cnf,119,True
uf75-01.cnf,47,True
uf75-01.cnf,500,True
uf75-01.cnf,464,True
uf75-01.cnf,685,True
uf75-01.cnf,1096,True
uf75-01.cnf,2456,True
uf75-01.cnf,1193,True
uf75-01.cnf,1523,True
uf75-01.cnf,229,True
uf75-01.cnf,835,True
uf75-01.cnf,804,True
uf75-01.cnf,538,True
uf75-01.cnf,1393,True
uf75-01.cnf,441,True
uf75-01.cnf,116,True
uf75-01.cnf,146,True
uf75-01.cnf,2354,True
uf75-01.cnf,737,True
uf75-01.cnf,1467,True
uf75-01.cnf,128,True
uf75-01.cnf,150,True
uf75-01.cnf,422,True
uf75-01.cnf,320,True
uf75-01.cnf,348,True
uf75-01.cnf,1263,True
uf75-01.cnf,321,True
uf75-01.cnf,247,True
uf75-01.cnf,180,True
uf75-01.cnf,188,True
uf75-01.cnf,69,True
uf75-01.cnf,1190,True
uf75-01.cnf,138,True
uf75-01.cnf,1150,True
uf75-01.cnf,3112,True
uf75-01.cnf,1544,True
uf75-01.cnf,2416,True
uf75-01.cnf,253,True
uf75-01.cnf,79,True
uf75-01.cnf,1622,True
uf75-01.cnf,1084,True
uf75-01.cnf,378,True
uf75-01.cnf,901,True
uf75-01.cnf,334,True
uf75-01.cnf,136,True
uf75-01.cnf,281,True
uf75-01.cnf,932,True
uf75-01.cnf,758,True
uf75-01.cnf,1657,True
uf75-01.cnf,1280,True
uf75-01.cnf,143,True
uf75-01.cnf,1217,True
uf75-01.cnf,992,True
uf75-01.cnf,437,True
uf75-01.cnf,638,True
uf75-01.cnf,1439,True
uf75-01.cnf,274,True
uf75-01.cnf,651,True
uf75-01.cnf,1519,True
uf75-01.cnf,706,True
uf75-01.cnf,476,True
uf75-01.cnf,302,True
uf75-01.cnf,44,True
uf75-01.cnf,1078,True
uf75-01.cnf,150,True
uf75-01.cnf,1088,True
uf75-01.cnf,62,True
uf75-01.cnf,1239,True
uf75-01.cnf,344,True
uf75-01.cnf,51,True
uf75-01.cnf,868,True
uf75-01.cnf,161,True
uf75-01.cnf,341,True
uf75-01.cnf,476,True
uf75-01.cnf,128,True
uf75-01.cnf,151,True
uf75-01.cnf,427,True
uf75-01.cnf,57,True
uf75-01.cnf,258,True
uf75-01.cnf,182,True
uf75-01.cnf,1995,True
uf75-01.cnf,1114,True
uf75-01.cnf,317,True
uf75-01.cnf,369,True
uf75-01.cnf,677,True
uf75-01.cnf,482,True
uf75-01.cnf,335,True
uf75-01.cnf,799,True
uf75-01.cnf,1724,True
uf75-01.cnf,1542,True
uf75-01.cnf,1453,True
uf75-01.cnf,3251,True
uf75-01.cnf,877,True
uf75-01.cnf,1883,True
uf75-01.cnf,551,True
uf75-01.cnf,1712,True
uf75-01.cnf,2360,True
uf75-01.cnf,108,True
uf75-01.cnf,55,True
uf75-01.cnf,1716,True
uf75-01.cnf,58,True
uf75-01.cnf,488,True
uf75-01.cnf,368,True
uf75-01.cnf,2165,True
uf75-01.cnf,154,True
uf75-01.cnf,396,True
uf75-01.cnf,152,True
uf75-01.cnf,1296,True
uf75-01.cnf,117,True
uf75-01.cnf,1535,True
uf75-01.cnf,278,True
uf75-01.cnf,155,True
uf75-01.cnf,331,True
uf75-01.cnf,465,True
uf75-01.cnf,979,True
uf75-01.cnf,308,True
uf75-01.cnf,458,True
uf75-01.cnf,401,True
uf75-01.cnf,1558,True
uf75-01.cnf,3339,True
uf75-01.cnf,116,True
uf75-01.cnf,4118,True
uf75-01.cnf,185,True
uf75-01.cnf,1450,True
uf75-01.cnf,419,True
uf75-01.cnf,141,True
uf75-01.cnf,656,True
uf75-01.cnf,672,True
uf75-01.cnf,277,True
uf75-01.cnf,2191,True
uf75-01.cnf,1724,True
uf75-01.cnf,1718,True
uf75-01.cnf,412,True
uf75-01.cnf,294,True
uf75-01.cnf,1269,True
uf75-01.cnf,1458,True
uf75-01.cnf,1325,True
uf75-01.cnf,97,True
uf75-01.cnf,193,True
uf75-01.cnf,166,True
uf75-01.cnf,1949,True
uf75-01.cnf,276,True
uf75-01.cnf,2416,True
uf75-01.cnf,205,True
uf75-01.cnf,1197,True
uf75-01.cnf,73,True
uf75-01.cnf,2385,True
uf75-01.cnf,94,True
uf75-01.cnf,98,True
uf75-01.cnf,3221,True
uf75-01.cnf,1199,True
uf75-01.cnf,95,True
uf75-01.cnf,2354,True
uf75-01.cnf,77,True
uf75-01.cnf,1124,True
uf75-01.cnf,1247,True
uf75-01.cnf,1765,True
uf75-01.cnf,228,True
uf75-01.cnf,400,True
uf75-01.cnf,1335,True
uf75-01.cnf,378,True
uf75-01.cnf,1268,True
uf75-01.cnf,771,True
uf75-01.cnf,112,True
uf75-01.cnf,483,True
uf75-01.cnf,881,True
uf75-01.cnf,475,True
uf75-01.cnf,108,True
uf75-01.cnf,543,True
uf75-01.cnf,2082,True
uf75-01.cnf,415,True
uf75-01.cnf,334,True
uf75-01.cnf,164,True
uf75-01.cnf,108,True
uf75-01.cnf,479,True
uf75-01.cnf,217,True
uf75-01.cnf,438,True
uf75-01.cnf,196,True
uf75-01.cnf,483,True
uf75-01.cnf,1412,True
uf75-01.cnf,1409,True
uf75-01.cnf,2214,True
uf75-01.cnf,2250,True
uf75-01.cnf,2343,True
uf75-01.cnf,193,True
uf75-01.cnf,401,True
uf75-01.cnf,270,True
uf75-01.cnf,2461,True
uf75-01.cnf,474,True
uf75-01.cnf,855,True
uf75-01.cnf,335,True
uf75-01.cnf,823,True
uf75-01.cnf,201,True
uf75-01.cnf,395,True
uf75-01.cnf,776,True
uf75-01.cnf,203,True
uf75-01.cnf,1892,True
uf75-01.cnf,1414,True
uf75-01.cnf,937,True
uf75-01.cnf,572,True
uf75-01.cnf,1657,True
uf75-01.cnf,674,True
uf75-01.cnf,1143,True
uf75-01.cnf,667,True
uf75-01.cnf,262,True
uf75-01.cnf,366,True
uf75-01.cnf,159,True
uf75-01.cnf,445,True
uf75-01.cnf,1189,True
uf75-01.cnf,106,True
uf75-01.cnf,1140,True
uf75-01.cnf,353,True
uf75-01.cnf,1272,True
uf75-01.cnf,255,True
uf75-01.cnf,155,True
uf75-01.cnf,155,True
uf75-01.cnf,1259,True
uf75-01.cnf,233,True
uf75-01.cnf,85,True
uf75-01.cnf,313,True
uf75-01.cnf,544,True
uf75-01.cnf,539,True
uf75-01.cnf,759,True
uf75-01.cnf,440,True
uf75-01.cnf,789,True
uf75-01.cnf,146,True
uf75-01.cnf,127,True
uf75-01.cnf,111,True
uf75-01.cnf,420,True
uf75-01.cnf,274,True
uf75-01.cnf,205,True
uf75-01.cnf,485,True
uf75-01.cnf,800,True
uf75-01.cnf,102,True
uf75-01.cnf,790,True
uf75-01.cnf,266,True
uf75-01.cnf,72,True
uf75-01.cnf,1376,True
uf75-01.cnf,408,True
uf75-01.cnf,370,True
uf75-01.cnf,804,True
uf75-01.cnf,1586,True
uf75-01.cnf,3242,True
uf75-01.cnf,144,True
uf75-01.cnf,2601,True
uf75-01.cnf,494,True
uf75-01.cnf,461,True
uf75-01.cnf,1742,True
uf75-01.cnf,827,True
uf75-01.cnf,1291,True
uf75-01.cnf,383,True
uf75-01.cnf,257,True
uf75-01.cnf,1524,True
uf75-01.cnf,159,True
uf75-01.cnf,390,True
uf75-01.cnf,160,True
uf75-01.cnf,823,True
uf75-01.cnf,560,True
uf75-01.cnf,236,True
uf75-01.cnf,280,True
uf75-01.cnf,122,True
uf75-01.cnf,268,True
uf75-01.cnf,252,True
uf75-01.cnf,283,True
uf75-01.cnf,181,True
uf75-01.cnf,204,True
uf75-01.cnf,166,True
uf75-01.cnf,488,True
uf75-01.cnf,349,True
uf75-01.cnf,545,True
uf75-01.cnf,673,True
uf75-01.cnf,307,True
uf75-01.cnf,165,True
uf75-01.cnf,453,True
uf75-01.cnf,141,True
uf75-01.cnf,765,True
uf75-01.cnf,600,True
uf75-01.cnf,315,True
uf75-01.cnf,192,True
uf75-01.cnf,358,True
uf75-01.cnf,2285,True
uf75-01.cnf,808,True
uf75-01.cnf,1392,True
uf75-01.cnf,2468,True
uf75-01.cnf,756,True
uf75-01.cnf,652,True
uf75-01.cnf,181,True
uf75-01.cnf,600,True
uf75-01.cnf,201,True
uf75-01.cnf,1133,True
uf75-01.cnf,365,True
uf75-01.cnf,1877,True
uf75-01.cnf,154,True
uf75-01.cnf,1739,True
uf75-01.cnf,164,True
uf75-01.cnf,796,True
uf75-01.cnf,1233,True
uf75-01.cnf,873,True
uf75-01.cnf,1691,True
uf75-01.cnf,150,True
uf75-01.cnf,408,True
uf75-01.cnf,431,True
uf75-01.cnf,54,True
uf75-01.cnf,1356,True
uf75-01.cnf,278,True
uf75-01.cnf,462,True
uf75-01.cnf,266,True
uf75-01.cnf,2687,True
uf75-01.cnf,271,True
uf75-01.cnf,1440,True
uf75-01.cnf,1027,True
uf75-01.cnf,413,True
uf75-01.cnf,406,True
uf75-01.cnf,508,True
uf75-01.cnf,1265,True
uf75-01.cnf,331,True
uf75-01.cnf,422,True
uf75-01.cnf,662,True
uf75-01.cnf,324,True
uf75-01.cnf,50,True
uf75-01.cnf,3528,True
uf75-01.cnf,414,True
uf75-01.cnf,1073,True
uf75-01.cnf,1101,True
uf75-01.cnf,1681,True
uf75-01.cnf,1072,True
uf75-01.cnf,241,True
uf75-01.cnf,429,True
uf75-01.cnf,409,True
uf75-01.cnf,1287,True
uf75-01.cnf,610,True
uf75-01.cnf,328,True
uf75-01.cnf,1546,True
uf75-01.cnf,1245,True
uf75-01.cnf,350,True
uf75-01.cnf,1335,True
uf75-01.cnf,277,True
uf75-01.cnf,71,True
uf75-01.cnf,202,True
uf75-01.cnf,891,True
uf75-01.cnf,406,True
uf75-01.cnf,53,True
uf75-01.cnf,308,True
uf75-01.cnf,259,True
uf75-01.cnf,153,True
uf75-01.cnf,120,True
uf75-01.cnf,63,True
uf75-01.cnf,269,True
uf75-01.cnf,267,True
uf75-01.cnf,451,True
uf75-01.cnf,564,True
uf75-01.cnf,482,True
uf75-01.cnf,220,True
uf75-01.cnf,3258,True
uf75-01.cnf,297,True
uf75-01.cnf,2271,True
uf75-01.cnf,206,True
uf75-01.cnf,157,True
uf75-01.cnf,484,True
uf75-01.cnf,339,True
uf75-01.cnf,1402,True
uf75-01.cnf,801,True
uf75-01.cnf,1289,True
uf75-01.cnf,603,True
uf75-01.cnf,217,True
uf75-01.cnf,85,True
uf75-01.cnf,121,True
uf75-01.cnf,142,True
uf75-01.cnf,991,True
uf75-01.cnf,642,True
uf75-01.cnf,207,True
uf75-01.cnf,356,True
uf75-01.cnf,1182,True
uf75-01.cnf,628,True
uf75-01.cnf,874,True
uf75-01.cnf,121,True
uf75-01.cnf,1093,True
uf75-01.cnf,1176,True
uf75-01.cnf,211,True
uf75-01.cnf,1669,True
uf75-01.cnf,311,True
uf75-01.cnf,1754,True
uf75-01.cnf,82,True
uf75-01.cnf,111,True
uf75-01.cnf,1505,True
uf75-01.cnf,1090,True
uf75-01.cnf,581,True
uf75-01.cnf,1180,True
uf75-01.cnf,280,True
uf75-01.cnf,343,True
uf75-01.cnf,556,True
uf75-01.cnf,322,True
uf75-01.cnf,1327,True
uf75-01.cnf,156,True
uf75-01.cnf,687,True
uf75-01.cnf,615,True
uf75-01.cnf,2709,True
uf75-01.cnf,505,True
uf75-01.cnf,695,True
uf75-01.cnf,2305,True
uf75-01.cnf,809,True
uf75-01.cnf,105,True
uf75-01.cnf,182,True
uf75-01.cnf,354,True
uf75-01.cnf,801,True
uf75-01.cnf,1509,True
uf75-01.cnf,498,True
uf75-01.cnf,3306,True
uf75-01.cnf,1393,True
uf75-01.cnf,241,True
uf75-01.cnf,158,True
uf75-01.cnf,1904,True
uf75-01.cnf,1629,True
uf75-01.cnf,1192,True
uf75-01.cnf,2204,True
uf75-01.cnf,407,True
uf75-01.cnf,909,True
uf75-01.cnf,106,True
uf75-01.cnf,199,True
uf75-01.cnf,854,True
uf75-01.cnf,2499,True
uf75-01.cnf,270,True
uf75-01.cnf,597,True
uf75-01.cnf,420,True
uf75-01.cnf,889,True
uf75-01.cnf,176,True
uf75-01.cnf,148,True
uf75-01.cnf,2302,True
uf75-01.cnf,335,True
uf75-01.cnf,386,True
uf75-01.cnf,1323,True
uf75-01.cnf,1898,True
uf75-01.cnf,247,True
uf75-01.cnf,221,True
uf75-01.cnf,1868,True
uf75-01.cnf,1691,True
uf75-01.cnf,58,True
uf75-01.cnf,144,True
uf75-01.cnf,104,True
uf75-01.cnf,196,True
uf75-01.cnf,916,True
uf75-01.cnf,2544,True
uf75-01.cnf,1109,True
uf75-01.cnf,166,True
uf75-01.cnf,1621,True
uf75-01.cnf,87,True
uf75-01.cnf,488,True
uf75-01.cnf,1796,True
uf75-01.cnf,117,True
uf75-01.cnf,262,True
uf75-01.cnf,503,True
uf75-01.cnf,800,True
uf75-01.cnf,1223,True
uf75-01.cnf,360,True
uf75-01.cnf,363,True
uf75-01.cnf,563,True
uf75-01.cnf,2284,True
uf75-01.cnf,1489,True
uf75-01.cnf,67,True
uf75-01.cnf,542,True
uf75-01.cnf,242,True
uf75-01.cnf,1262,True
uf75-01.cnf,874,True
uf75-01.cnf,403,True
uf75-01.cnf,316,True
uf75-01.cnf,292,True
uf75-01.cnf,137,True
uf75-01.cnf,614,True
uf75-01.cnf,284,True
uf75-01.cnf,3814,True
uf75-01.cnf,792,True
uf75-01.cnf,177,True
uf75-01.cnf,240,True
uf75-01.cnf,56,True
uf75-01.cnf,177,True
uf75-01.cnf,433,True
uf75-01.cnf,3605,True
uf75-01.cnf,1684,True
uf75-01.cnf,209,True
uf75-01.cnf,1646,True
uf75-01.cnf,177,True
uf75-01.cnf,491,True
uf75-01.cnf,1545,True
uf75-01.cnf,1879,True
uf75-01.cnf,1524,True
uf75-01.cnf,1157,True
uf75-01.cnf,147,True
uf75-01.cnf,227,True
uf75-01.cnf,964,True
uf75-01.cnf,605,True
uf75-01.cnf,1178,True
uf75-01.cnf,351,True
uf75-01.cnf,255,True
uf75-01.cnf,1351,True
uf75-01.cnf,632,True
uf75-01.cnf,1141,True
uf75-01.cnf,704,True
uf75-01.cnf,230,True
uf75-01.cnf,649,True
uf75-01.cnf,437,True
uf75-01.cnf,505,True
uf75-01.cnf,52,True
uf75-01.cnf,2162,True
uf75-01.cnf,1301,True
uf75-01.cnf,740,True
uf75-01.cnf,109,True
uf75-01.cnf,421,True
uf75-01.cnf,584,True
uf75-01.cnf,642,True
uf75-01.cnf,145,True
uf75-01.cnf,827,True
uf75-01.cnf,1584,True
uf75-01.cnf,188,True
uf75-01.cnf,166,True
uf75-01.cnf,1089,True
uf75-01.cnf,822,True
uf75-01.cnf,195,True
uf75-01.cnf,584,True
uf75-01.cnf,546,True
uf75-01.cnf,917,True
uf75-01.cnf,130,True
uf75-01.cnf,404,True
uf75-01.cnf,1101,True
uf75-01.cnf,667,True
uf75-01.cnf,231,True
uf75-01.cnf,94,True
uf75-01.cnf,219,True
uf75-01.cnf,490,True
uf75-01.cnf,615,True
uf75-01.cnf,403,True
uf75-01.cnf,235,True
uf75-01.cnf,64,True
uf75-01.cnf,57,True
uf75-01.cnf,2171,True
uf75-01.cnf,500,True
uf75-01.cnf,753,True
uf75-01.cnf,539,True
uf75-01.cnf,1346,True
uf75-01.cnf,134,True
uf75-01.cnf,362,True
uf75-01.cnf,833,True
uf75-01.cnf,1502,True
uf75-01.cnf,351,True
uf75-01.cnf,1192,True
uf75-01.cnf,1183,True
uf75-01.cnf,196,True
uf75-01.cnf,694,True
uf75-01.cnf,514,True
uf75-01.cnf,2394,True
uf75-01.cnf,969,True
uf75-01.cnf,615,True
uf75-01.cnf,58,True
uf75-01.cnf,1220,True
uf75-01.cnf,669,True
uf75-01.cnf,223,True
uf75-01.cnf,241,True
uf75-01.cnf,1527,True
uf75-01.cnf,439,True
uf75-01.cnf,504,True
uf75-01.cnf,923,True
uf75-01.cnf,422,True
uf75-01.cnf,252,True
uf75-01.cnf,166,True
uf75-01.cnf,718,True
uf75-01.cnf,378,True
uf75-01.cnf,99,True
uf75-01.cnf,149,True
uf75-01.cnf,79,True
uf75-01.cnf,211,True
uf75-01.cnf,458,True
uf75-01.cnf,156,True
uf75-01.cnf,590,True
uf75-01.cnf,636,True
uf75-01.cnf,241,True
uf75-01.cnf,198,True
uf75-01.cnf,428,True
uf75-01.cnf,225,True
uf75-01.cnf,399,True
uf75-01.cnf,1568,True
uf75-01.cnf,152,True
uf75-01.cnf,1904,True
uf75-01.cnf,274,True
uf75-01.cnf,454,True
uf75-01.cnf,322,True
uf75-01.cnf,236,True
uf75-01.cnf,211,True
uf75-01.cnf,411,True
uf75-01.cnf,213,True
uf75-01.cnf,122,True
uf75-01.cnf,2929,True
uf75-01.cnf,578,True
uf75-01.cnf,174,True
uf75-01.cnf,241,True
uf75-01.cnf,95,True
uf75-01.cnf,1348,True
uf75-01.cnf,1195,True
uf75-01.cnf,1069,True
uf75-01.cnf,349,True
uf75-01.cnf,515,True
uf75-01.cnf,494,True
uf75-01.cnf,1214,True
uf75-01.cnf,574,True
uf75-01.cnf,56,True
uf75-01.cnf,278,True
uf75-01.cnf,1126,True
uf75-01.cnf,662,True
uf75-01.cnf,1712,True
uf75-01.cnf,1153,True
uf75-01.cnf,110,True
